File name, GUI_distance_lag, GUI_relative_distance_lag, OF_distance_lag, OF_relative_distance_lag
MAX_2018001_LP823_Control-03-02, 4.4630656665177835, 1.1676949360852396, 2.6421438236579746 0.7108850627252427
MAX_20180525_LP823_hmr-1_sax-7_RNAi_04-01, 2.6546863596832253, 1.1650170532730333, 1.5069702148798174, 0.6507180999729731
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-01_e1-crop, 2.7507292731711175, 1.2423959498086976, 1.3185104632167974, 0.6575089512516537
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-01_e2-crop, 2.588363703295138, 1.245333833003242, 1.4388976549098464, 0.7395132883325068
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-02_e1-crop, 3.506553328248575, 1.3449812258563854, 1.8149219049651693, 0.7205705890278744
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-02_e2-crop, 3.195293870860174, 1.223970182615028, 1.7135605751258842, 0.6751432194888841
MAX_20180525_LP823_hmr-1_sax-7_RNAi_08-01_e1-crop, 2.1972918500254046, 0.7234713209642749, 3.9035073856250895, 1.2381071377232686
MAX_20180525_LP823_hmr-1_sax-7_RNAi_09-01, 2.5602904625450864, 0.7414027902045337, 4.1757118586829165, 1.1117881140899124
MAX_20180604_LP823_Control-03-05, 2.0385903110468897, 0.6669398816469456, 3.7213695518794543, 1.2457658236070328
MAX_20180604_LP823_Control-04-05, 2.238922748726562, 0.6812150849328458, 3.958161643709132, 1.1723375010841188
MAX_20180604_LP823_Control-06-02, 5.00363310571474, 1.198830726583074, 3.01708015171932, 0.7729688516720552
MAX_20180604_LP823_Control-06-05, 3.2663194122750383, 0.7860563132174163 ,5.086887579628616, 1.1362868869271971
MAX_20190503_LP823_01-02, 4.201386716164242, 1.1038403297590629, 2.756233109070218, 0.7537088887846212
MAX_20190503_LP823_02-01, 4.1410340557909775, 1.1268084721253042, 2.5711034382171825, 0.7499105488986859 
MAX_20190503_LP823_03-01, 5.209300580180731, 1.2419602725339143, 2.870203918362073, 0.7347428221833834
MAX_20190503_LP823_03-02, 1.8502883285676663, 0.660879465823644, 3.38275342652362, 1.1535139063124986
max_2018001_lp823_control-02-02, 5.039125674665199, 1.18461676202186, 2.8528990908061527, 0.7963927470345263
max_2018001_lp823_control-02-05, 3.9438333473064375, 1.221108382185532, 2.1308175647278587, 0.6956861469289266
max_2018001_lp823_control-03-05, 3.893325255652492, 1.227199232501642, 2.0816519138863354, 0.6679815237482052
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 3.804585393121159, 1.1661847838763337, 2.300877011295456, 0.7459081516306805


File name, GUI_angle_lag, OF_angle_lag
MAX_2018001_LP823_Control-03-02, 84.61270186529111, 32.22613454010257
MAX_20180525_LP823_hmr-1_sax-7_RNAi_04-01, 74.57624059502076, 25.06515580878017
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-01_e1-crop, 81.9643450004662, 26.738593459243415
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-01_e2-crop, 77.01859565049392, 33.89422555614996
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-02_e1-crop, 96.12241837076024, 31.87725966317931
MAX_20180525_LP823_hmr-1_sax-7_RNAi_05-02_e1-crop, 88.70078762606715, 30.136392724686615
MAX_20180525_LP823_hmr-1_sax-7_RNAi_08-01_e1-crop, 89.47845168913467, 29.308981475694917
MAX_20180525_LP823_hmr-1_sax-7_RNAi_09-01, 79.14427046669894, 34.93390680817629
MAX_20180604_LP823_Control-03-05, 94.13144792425803, 28.060468174886495
MAX_20180604_LP823_Control-04-05, 80.55433870361435, 29.570612752061393
MAX_20180604_LP823_Control-06-02, 80.4005489091694, 34.348344272847115
MAX_20180604_LP823_Control-06-05, 83.35811813823271, 35.883388986106624
MAX_20190503_LP823_01-02, 77.338233513348, 37.811522610444534
MAX_20190503_LP823_02-01, 77.68993940008758, 33.325987994032914
MAX_20190503_LP823_02-02, 83.56481581301136, 30.603883069794506
MAX_20190503_LP823_03-01, 76.10882981882058, 24.911846313787503
MAX_20190503_LP823_03-02, 84.3916951497495, 27.21743804255314
max_2018001_lp823_control-02-02, 81.99805871909888, 34.06219305434959
max_2018001_lp823_control-02-05, 78.76255324689264, 28.6216129249025
max_2018001_lp823_control-03-05, 79.03619375296738, 29.197391273973448
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 79.57420505341511, 34.593906003737686



File name, OF_distance_lag_noisy, OF_relative_distance_lag_noisy, OF_distance_lag_denoised, OF_relative_distance_lag_denoised
MAX_2018001_LP823_Control-03-02, 2.613619386120007, 0.7151023961695072, 2.6421438236579746 0.7108850627252427
MAX_20180525_LP823_hmr-1_sax-7_RNAi_04-01, 1.5145987463602903 0.6552304165271003, 1.5069702148798174, 0.6507180999729731
MAX_20180525_LP823_hmr-1_sax-7_RNAi_09-01, 2.5691014887914854, 0.7355409156534589, 2.5602904625450864, 0.7414027902045337
MAX_20180604_LP823_Control-03-05, 2.050797558620519, 0.6698230122282396, 2.0385903110468897, 0.6669398816469456
MAX_20180604_LP823_Control-04-05, 2.349097481875061, 0.6843253493972947, 2.238922748726562, 0.6812150849328458
MAX_20180604_LP823_Control-06-02, 3.0369979048853954, 0.7674042023308938, 3.01708015171932 0.7729688516720552
MAX_20180604_LP823_Control-06-05, 3.19958752783222 0.7845252777765512, 3.2663194122750383, 0.7860563132174163
MAX_20190503_LP823_01-02, 2.71868813831444, 0.7678873725347132, 2.756233109070218, 0.7537088887846212
MAX_20190503_LP823_02-01, 2.617415105214934, 0.7551651741657183, 2.5711034382171825, 0.7499105488986859 
MAX_20190503_LP823_02-02, 2.805754666674969, 0.7178174503204799, 2.870203918362073, 0.7347428221833834
MAX_20190503_LP823_03-01, 2.1179321595089866, 0.6394196345591057, 2.153895969826997, 0.6449685371991953
MAX_20190503_LP823_03-02, 1.8148492969756376, 0.6525626102949272, 1.8502883285676663, 0.660879465823644
max_2018001_lp823_control-02-02, 2.8528990908061527, 0.7963927470345263, 2.8528990908061527, 0.7963927470345263
max_2018001_lp823_control-02-05, 2.164456711049502, 0.6910000146313923, 2.1308175647278587 0.6956861469289266
, 2.0408899967250926, 0.6715146290059291, 2.0816519138863354, 0.6679815237482052
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 2.9442304293397243 0.7890781099953699, 2.300877011295456, 0.7459081516306805


File name, OF_angle_lag_noisy, OF_angle_lag_denoised
MAX_2018001_LP823_Control-03-02, 30.75441129704666, 32.22613454010257
MAX_20180525_LP823_hmr-1_sax-7_RNAi_04-01, 25.228234484975818, 25.06515580878017
MAX_20180525_LP823_hmr-1_sax-7_RNAi_09-01, 34.40200415717777, 34.93390680817629
MAX_20180604_LP823_Control-03-05, 28.179648061043604, 28.060468174886495
MAX_20180604_LP823_Control-04-05, 28.51689741799846, 29.570612752061393
MAX_20180604_LP823_Control-06-02, 35.70385597232095, 34.348344272847115
MAX_20180604_LP823_Control-06-05, 34.69723552136065, 35.883388986106624
MAX_20190503_LP823_01-02, 37.00953459891861, 37.811522610444534
MAX_20190503_LP823_02-01, 33.325987994032914, 33.325987994032914
MAX_20190503_LP823_02-02, 29.99996719250838, 30.603883069794506
MAX_20190503_LP823_03-01, 24.966626449230517, 24.911846313787503
MAX_20190503_LP823_03-02, 26.88916359500894, 27.21743804255314
max_2018001_lp823_control-02-02, 34.798011046523214, 34.06219305434959
max_2018001_lp823_control-02-05, 27.452257700455952, 28.6216129249025
max_2018001_lp823_control-03-05, 28.3576997416303, 29.197391273973448
max_20180523_lp823_hmr-1_sax-7_rnai_02-01, 35.480116144750426, 34.593906003737686






















































File name, OF_distance_lag, OF_relative_distance_lag, MSER_distance_lag, MSER_relative_distance_lag


